agent,area_sqm,bathrooms,bedrooms,description,listing_id,location,on_show,price,property_type,special_tag,url,crime_index,gautrain_km
,910.0,,3.0,,,Discovery,,1399000.0,3 Bedroom House,,,4.0,12.35
,115.0,,4.0,,,Discovery,,1600000.0,4 Bedroom House,,,4.0,12.35
,139.0,,3.0,,,Wilgeheuwel,,1450000.0,3 Bedroom Townhouse,,,3.0,13.84
,936.0,,3.0,,,Lindhaven,,1099995.0,3 Bedroom House,,,3.0,13.84
,282.0,,4.0,,,Willowbrook,,2900000.0,4 Bedroom House,,,3.0,13.84
,121.0,,3.0,,,Wilgeheuwel,,1100000.0,3 Bedroom Townhouse,,,3.0,13.84
,41.0,,2.0,,,Fleurhof,,600000.0,2 Bedroom Apartment,,,8.0,13.36
,967.0,,2.0,,,Allen'S Nek,,825000.0,2 Bedroom Townhouse,,,3.0,13.84
,77.0,,2.0,,,Weltevreden Park,,869000.0,2 Bedroom Apartment,,,3.0,9.07
,341.0,,2.0,,,Cosmo City,,810000.0,2 Bedroom House,,,3.0,13.84
,115.0,,4.0,,,Discovery,,1500000.0,4 Bedroom House,,,4.0,12.35
,60.0,,3.0,,,Groblerpark,,790000.0,3 Bedroom Townhouse,,,3.0,13.84
,71.0,,3.0,,,Roodepoort West,,695000.0,3 Bedroom Apartment,,,3.0,13.84
,127.0,,3.0,,,Allen'S Nek,,1450000.0,3 Bedroom Townhouse,,,3.0,13.84
,912.0,,5.0,,,Groblerpark,,1800000.0,5 Bedroom House,,,3.0,13.84
,611.0,,3.0,,,Floracliffe,,2699000.0,3 Bedroom House,,,3.0,13.84
,54.0,,2.0,,,Wilgeheuwel,,779000.0,2 Bedroom Townhouse,,,3.0,13.84
,420.0,,4.0,,,Eagle Canyon Golf Estate,,4890000.0,4 Bedroom House,,,3.0,13.84
,440.0,,3.0,,,Roodekrans,,2000000.0,3 Bedroom House,,,3.0,13.84
,878.0,,,,,Florida,,1590000.0,House,,,6.0,14.56
,188.0,,3.0,,,Eagle Canyon Golf Estate,,3900000.0,3 Bedroom Townhouse,,,3.0,13.84
,169.0,,3.0,,,Willowbrook,,1260000.0,3 Bedroom Apartment,,,3.0,13.84
,61.0,,2.0,,,Honeypark,,495000.0,2 Bedroom Apartment,,,3.0,13.84
,866.0,,4.0,,,Constantia Kloof,,1890000.0,4 Bedroom House,,,3.0,13.92
,532.0,,1.0,,,Willowbrook,,499000.0,1 Bedroom Townhouse,,,3.0,13.84
,722.0,,3.0,,,Radiokop,,1340000.0,3 Bedroom Townhouse,,,3.0,12.01
,651.0,,,,,Stormill,,29500000.0,Industrial Property,,,3.0,13.84
,100.0,,3.0,,,Constantia Kloof,,1495000.0,3 Bedroom Townhouse,,,3.0,13.92
